Unnamed: 0,title,year,synopsis,critic_score,people_score,consensus,total_reviews,total_ratings,type,rating,genre,original_language,director,producer,writer,release_date_(theaters),release_date_(streaming),box_office_(gross_usa),runtime,production_co,sound_mix,aspect_ratio,view_the_collection,crew
518,kedi,2016,hundred thousand cat roamed metropolis istanbul freely thousand year wandering people life impacting way animal life world wild tamed cat kitten bring joy purpose choose giving people opportunity reflect life place istanbul cat mirror,98,85.0,kedi cat fancier dream thoughtful beautifully filmed look istanbul street feline population offer absorbing viewing filmgoers purrsuasion,128,5000,documentary,unknown,documentary,turkish,ceyda torun,ceyda torun charlie wuppermann,unknown,feb 10 2017 limited,nov 12 2017,28m,1h 20m,termite film,unknown,unknown,unknown,ceyda torun ceyda torun charlie wuppermann gregor kewel thomas podstawski alp korfali charlie wuppermann
519,totally control,2020,public health official discus u government response covid19 pandemic,99,85.0,totally control commendable job distilling current event cleareyed overview thats engaging enraging,101,100,documentary,unknown,documentary,english,alex gibney ophelia harutyunyan suzanne hillinger,alex gibney ophelia harutyunyan,alex gibney,unknown,oct 13 2020,unknown,2h 3m,yellow bear film jigsaw production playaction picture participant,unknown,unknown,unknown,alex gibney taison bell michael bowen rick bright caroline chen thomas frieden alex gibney alex gibney ophelia harutyunyan suzanne hillinger alison ellwood mark lampert andrew morrison michael sack alex gibney ophelia harutyunyan
520,stop making sense,1984,director jonathan demme capture frantic energy artsy groove talking head concert movie shot hollywood pantages theatre 1983 band frontman david byrne first appears empty stage armed acoustic guitar gradually joined bassist tina weymouth drummer chris frantz keyboardist jerry harrison cadre backup singer perform band hit culminating iconic performance featuring byrne enormous suit,100,98.0,jonathan demmes stop making sense capture energetic unpredictable live act peak talking head color visual wit,41,5000,documentary,unknown,music documentary,english,jonathan demme,gary goetzman,unknown,unknown,aug 10 2016,1484k,1h 28m,arnold stiefel company,dolby digital,flat 1851,unknown,bernie worrell alex weir steve scale lynn mabry tina weymouth jerry harrison chris frantz david byrne jonathan demme gary kurfirst gary goetzman david byrne chris frantz jerry harrison talking head tina weymouth jordan cronenweth lisa day
521,knock house,2019,young bartender bronx coal miner daughter west virginia grieving mother nevada registered nurse missouri build movement insurgent candidate challenge powerful incumbent congress one race become shocking political upset recent american history,99,10.0,galvanizing glimpse behind scene pivotal election knock house prove engrossing viewer political persuasion,103,5000,documentary,pg brief smokingthematic elementslanguage,documentary,english,rachel lear,rachel lear robin blotnick sarah olson,rachel lear robin blotnick,may 1 2019 limited,may 1 2019,unknown,1h 26m,atlas film,unknown,unknown,unknown,alexandria ocasiocortez rachel lear rachel lear robin blotnick rachel lear robin blotnick sarah olson kristin lazure regina k scully stephanie soechtig rachel lear
522,blackfish,2013,story tilikum captive killer whale taken life several people underscore problem within seapark industry man relationship nature little learned highly intelligent mammal,98,90.0,blackfish aggressive impassioned documentary change way look performance killer whale,131,25000,documentary,pg13 mature thematic elementsdisturbing violent image,documentary,english,gabriela cowperthwaite,gabriela cowperthwaite manuel oteyza,gabriela cowperthwaite eli despres tim zimmerman,jul 19 2013 limited,dec 5 2016,21m,1h 23m,manny production,unknown,unknown,unknown,john hargrove samantha berg kim ashdown dean gomersall carol ray dave duffus gabriela cowperthwaite gabriela cowperthwaite eli despres gabriela cowperthwaite judy bart erica kahn christopher towey
523,taxi dark side,2007,documentary explores american military use torture focusing unsolved murder afhgani taxi driver 2002 taken questioning bagram force air base five day later man dead medical examiner claimed driver died excessive physical abuse taking case jumpingoff point film examines wider claim torture occurred base like abu ghraib guantanamo bay bush administration,100,90.0,taxi dark side intelligent powerful look dark corner war terror,93,5000,documentary,r graphic nuditydisturbing imagescontent involving torture,crime drama war documentary,english,alex gibney,eva orner susannah shipman alex gibney,alex gibney,jan 18 2008 limited,oct 21 2019,2747k,1h 46m,wider film project discovery channel tall wood jigsaw production xray production,unknown,unknown,unknown,alex gibney brian keith allen jack cloonan greg dagostino moazzam begg alex gibney alex gibney eva orner susannah shipman alex gibney glascoff sidney blumenthal jedd wider todd wider
524,time,2020,entrepreneur fox rich spends last two decade campaigning release husband rob g rich serving 60year prison sentence robbery committed early 1990s moment desperation,98,49.0,time delivers powerful broadside flaw american justice system chronicle one family refusal give odds,116,100,documentary,pg13 strong language,documentary,english,garrett bradley,garrett bradley lauren domino kellen quinn,unknown,oct 9 2020 limited,oct 16 2020,unknown,1h 21m,concordia studio,unknown,unknown,unknown,garrett bradley davis guggenheim kathleen lingo laurene powelljobs nicole stott garrett bradley nisa east gabriel rhodes
525,maiden,2018,1989 tracy edward lead first allfemale crew whitbread round world race grueling yachting competition cover 33000 mile last nine month,98,97.0,enthralling viewing even audience little knowledge interest sailing maiden pay powerful tribute true pioneer,118,100 verified,documentary,pg suggestive contentlanguagebrief smoking imagesthematic element,documentary,english,alex holmes,alex holmes victoria gregory,unknown,jun 28 2019 limited,oct 1 2019,32m,1h 33m,sony picture classic new black film mongrel medium,unknown,unknown,unknown,tracy edward nancy harris john chittenden bruno de bois howard gibbon jo gooding angela heath marieclaude heys alex holmes alex holmes victoria gregory james erskine anna godas oli harbottle chris openshaw katie bryer rob manning samuel sim
526,murderball,2005,documentary introduces u quad rugby team team composed entirely young paraplegic men using special wheelchair little protection player play fullcontact competitive rugby using rule slightly altered accommodate limitation film follows team discus sport life ended chair begin play way 2004 paralympic game athens greece,98,89.0,entertaining gripping documentary show confined wheelchair doesnt mean fun end,141,10000,documentary,r sexual contentlanguage,documentary,english,henry alex rubin dana adam shapiro,dana adam shapiro,unknown,unknown,nov 3 2019,15m,1h 25m,unknown,unknown,unknown,unknown,henry alex rubin dana adam shapiro christian ettinger randy manis jeff sackman dana adam shapiro mark urman henry alex rubin conor oneill geoffrey richman
527,jodorowskys dune,2013,filmmaker alejandro jodorowsky discusses would adapted frank herbert classic scifi novel dune big screen,98,89.0,part thoughtful tribute part bittersweet reminder missed opportunity jodorowskys dune offer fascinating look lost scifi legend,121,10000,documentary,pg13 violent sexual imagesdrug reference,documentary,english,frank pavich,frank pavich stephen scarlata travis stevens,unknown,mar 21 2014 limited,jul 8 2014,6465k,1h 28m,snowfort picture,unknown,unknown,unknown,alejandro jodorowsky amanda lear brontis jodorowsky chris foss christian vander devin faraci frank pavich donald rosenfeld frank pavich stephen scarlata travis stevens david cavallo alex ricciardi kurt stenzel
528,welcome chechnya,2020,activist risk life confront russian leader ramzan kadyrov governmentdirected campaign detain torture execute lgbtq chechen,100,86.0,illuminating urgent call action welcome chechnya portrays horror mass persecution lgbtq community chechen republic tenacity tenderness,69,50,documentary,unknown,gay lesbian documentary,russian,david france,david france alice henty askold kurov joy tomchin,david france,unknown,jul 3 2020,unknown,1h 47m,public square film ninety thousand word bbc storyville maylo film bertha doc society journalism fund palette fund,unknown,unknown,unknown,david france david france david france alice henty askold kurov joy tomchin nancy abraham neal baer jesse tyler ferguson masha gessen
530,shirker,2018,1992 teenager sandi tan shoot singapore first road movie enigmatic american mentor george absconded footage 16 mm film recovered 20 year later sending tan novelist living los angeles personal odyssey search george footprint,100,78.0,shirker us one woman interrogation pivotal personal disappointment offer affecting observation creativity lost opportunity coming term past,69,250,documentary,unknown,documentary,english,sandi tan,jessica levin maya rudolph sandi tan,unknown,oct 26 2018 limited,oct 26 2018,unknown,1h 36m,unknown,unknown,unknown,unknown,sandi tan jessica levin sandi tan iris ng kimberley hassett sandi tan
531,anvil story anvil,2008,canadian heavymetal band anvil delivered highly influential 1982 album would inspire like anthrax metallica dropped map begin would become decade toiling obscurity director former roadie sacha gervasi follows guitarist steve lip kudlow drummer robb reiner stumble harrowing european tour reflect failure friendship resilience follow even impossible dream,98,91.0,touching uplifting inspirational rockumentary aging metal band hilarious heartwarming equal measure,140,5000,documentary,unknown,documentary,english,sacha gervasi,rebecca yeldham,unknown,apr 10 2009 limited,apr 26 2017,6667k,1h 25m,sacha gervasi,unknown,unknown,unknown,steve lip kudlow robb reiner slash lars ulrich lemmy kilmister sacha gervasi rebecca yeldham
532,inside job,2010,global financial meltdown took place fall 2008 caused million job home loss plunged united state deep economic recession matt damon narrates documentary provides detailed examination element led collapse identifies key financial political player director charles ferguson conduct wide range interview trace story united state china iceland several global financial hot spot,98,91.0,disheartening essential viewing charles fergusons documentary explores 2008 global financial crisis exemplary rigor,148,25000,documentary,pg13 sexrelated materialsome drug material,documentary,english,charles ferguson,charles ferguson audrey marrs,charles ferguson,oct 8 2010 limited,apr 16 2012,43m,1h 48m,sony picture classic,unknown,unknown,unknown,matt damon gylfi zoega andri snær magnason sigridur benediktsdottir paul volcker dominique strausskahn george soros barney frank charles ferguson charles ferguson charles ferguson audrey marrs jeffrey lurie christina weiss lurie
